location,sample_num,lake,area,coordinate,date_caught,date_examined,gear,time_collected,surface_temp,num,length,weight,sex,num_schist,wt_schist,num_triaen,loc_triaen,num_acanth,num_nematodes,num_copepods,num_skin_cysts,color,kidney,testes,wt_ovary,num_of_ova,ova_dia,condition,stomach_content,keel,plates,dorsal_rays,anal_rays,remarks,remarks_notes,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,11,69,274,1,0,0,0,NA,0,0,2,0,4,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,12,68,266,1,0,0,0,NA,0,0,1,0,3,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,13,71,378,2,2,75,0,NA,1,0,2,0,1,1,NA,31,132,15,2,21,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,14,58,174,2,0,0,0,NA,0,0,1,0,1,1,NA,35,92,17,3,31,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,15,71,275,1,0,0,0,NA,0,0,1,0,2,3,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,16,58,158,2,2,2,0,NA,0,0,0,0,3,1,NA,35,105,15,3,21,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,1,70,266,2,0,0,0,NA,0,0,1,0,1,1,NA,24,NA,10,2,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,2,58,139,2,1,1,0,NA,0,0,1,0,1,1,NA,12,93,10,2,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,3,60,180,2,0,0,0,NA,0,0,0,0,1,1,NA,27,112,15,2,32,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,4,64,226,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,5,68,239,1,0,0,0,NA,0,0,1,0,2,2,1,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,6,64,218,2,0,0,0,NA,1,0,2,0,1,1,NA,25,93,15,2,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,7,56,175,1,1,7,0,NA,1,0,0,0,3,2,1,NA,NA,NA,NA,32,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,8,52,116,1,0,0,0,NA,0,0,2,0,1,3,1,NA,NA,NA,NA,36,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,9,53,109,1,0,0,0,NA,0,0,0,0,1,3,1,NA,NA,NA,NA,36,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,10,67,226,2,0,0,0,NA,0,0,0,0,3,1,NA,12,NA,5,4,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,11,65,244,2,0,0,0,NA,0,0,2,0,1,1,NA,57,126,18,3,31,1,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,12,65,252,1,0,0,0,NA,0,0,0,0,1,3,1,NA,NA,NA,NA,34,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,13,54,144,2,0,0,0,NA,0,0,1,0,1,1,NA,25,120,12,2,22,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/20/1960,3,12:00,0,14,76,343,2,0,0,0,NA,0,0,2,0,1,1,NA,23,93,10,2,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,1,64,240,2,0,0,0,NA,0,0,1,0,1,1,NA,49,113,18,3,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,2,53,124,1,0,0,0,NA,0,0,0,0,1,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,3,71,311,1,3,53,0,NA,0,0,0,0,1,1,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,4,69,303,2,0,0,0,NA,0,0,0,0,1,1,NA,63,124,18,3,22,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,1,63,229,2,0,0,0,NA,0,0,3,0,1,1,NA,32,114,15,2,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,2,69,240,2,0,0,0,NA,0,0,2,0,1,1,NA,13,NA,5,4,22,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,3,74,364,2,0,0,0,NA,1,0,3,0,1,1,NA,41,130,15,2,34,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,4,67,255,1,0,0,0,NA,0,0,0,0,1,2,2,NA,NA,NA,NA,34,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,5,55,134,1,2,1,0,NA,0,0,0,0,1,2,2,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,6,60,174,1,1,1,0,NA,0,0,0,0,4,3,1,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/19/1960,3,12:00,0,7,55,121,2,1,1,0,NA,0,0,1,0,1,1,NA,12,NA,5,4,33,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,1,61,166,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,2,63,191,1,0,0,0,NA,1,0,3,0,2,3,1,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,3,57,153,1,2,1,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,4,75,381,2,1,1,0,NA,0,0,0,0,1,1,NA,49,132,15,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,5,65,251,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,6,68,258,2,0,0,0,NA,0,0,1,0,1,1,NA,26,122,10,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,7,73,297,2,0,0,0,NA,1,0,0,0,1,1,NA,37,73,17,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,8,71,299,2,0,0,0,NA,0,0,2,0,2,1,NA,36,92,15,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,9,65,239,1,0,0,0,NA,0,0,2,0,1,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,10,73,371,2,2,52,0,NA,0,0,5,0,1,1,NA,57,167,15,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,11,74,344,2,1,36,0,NA,0,0,2,0,1,1,NA,32,140,12,2,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,12,57,156,1,0,0,0,NA,0,0,0,0,3,2,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,13,65,242,2,1,1,0,NA,0,0,0,0,1,1,NA,58,135,18,3,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,14,56,149,1,1,1,0,NA,0,0,1,0,1,2,1,NA,NA,NA,NA,32,NA,NA,NA,NA,2,Wt missing and estimated from regression,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,15,69,298,2,0,0,0,NA,0,0,0,0,1,1,NA,39,104,17,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,16,68,254,1,0,0,0,NA,0,0,1,0,3,2,1,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,17,61,194,2,0,0,0,NA,0,0,0,0,1,1,NA,42,88,18,3,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,18,55,140,2,0,0,0,NA,0,0,2,0,1,1,NA,17,63,12,2,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,19,68,310,2,0,0,0,NA,0,0,0,0,1,1,NA,36,131,15,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,20,66,239,2,0,0,0,NA,0,0,1,0,1,1,NA,15,NA,5,4,34,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,21,67,255,2,0,0,0,NA,0,0,0,0,1,1,NA,49,103,18,3,24,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,22,56,137,1,0,0,0,NA,0,0,2,0,3,2,1,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,23,84,574,2,2,74,0,NA,0,0,0,0,1,1,NA,88,196,19,3,10,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,24,70,285,1,0,0,0,NA,0,0,1,0,3,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,25,64,210,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,26,65,230,1,0,0,0,NA,0,0,1,0,3,3,1,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,27,67,257,1,1,3,0,NA,0,0,2,0,3,3,1,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,28,68,276,2,0,0,0,NA,0,0,1,0,1,1,NA,47,147,15,2,31,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,29,56,144,2,0,0,0,NA,0,0,0,0,3,1,NA,27,86,15,2,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/18/1960,3,12:00,0,30,68,314,2,0,0,0,NA,0,0,1,0,1,1,NA,53,147,15,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,1,53,118,1,0,0,0,NA,0,0,1,0,3,3,1,NA,NA,NA,NA,37,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,2,55,124,1,0,0,0,NA,0,0,1,8,1,3,1,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,3,72,331,2,0,0,0,NA,0,2,2,0,3,1,NA,28,129,10,2,37,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,4,63,192,2,1,1,1,3,0,0,3,0,1,1,NA,25,99,15,2,10,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,5,58,156,2,0,0,0,NA,0,0,1,0,1,1,NA,39,83,17,3,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,6,69,301,2,0,0,1,6,0,0,3,0,1,1,NA,40,191,18,2,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,7,59,153,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,37,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,8,55,138,1,0,0,0,NA,0,0,2,0,3,3,1,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,9,71,285,2,0,0,0,NA,0,0,1,0,1,1,NA,47,105,17,3,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,10,67,229,1,0,0,0,NA,0,0,0,0,2,3,1,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,11,67,246,1,0,0,0,NA,0,0,0,0,3,3,2,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,12,60,171,2,0,0,0,NA,0,0,1,0,1,1,NA,43,112,18,NA,32,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,13,56,136,1,0,0,0,NA,0,0,0,2,1,3,2,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,14,56,152,2,0,0,0,NA,0,0,2,6,1,1,NA,31,93,13,2,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,15,53,111,1,0,0,0,NA,0,0,0,2,1,3,1,NA,NA,NA,NA,32,3,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,16,64,239,1,0,0,1,3,0,0,2,0,4,3,1,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,17,54,127,1,0,0,0,NA,0,0,0,3,3,3,1,NA,NA,NA,NA,32,2,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,18,63,205,1,0,0,0,NA,0,0,2,0,3,3,1,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,19,54,119,1,0,0,0,NA,0,0,1,0,1,3,1,NA,NA,NA,NA,34,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,20,71,284,2,1,41,0,NA,0,5,0,0,3,1,NA,26,23,12,2,33,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,21,56,139,2,0,0,0,NA,0,0,0,0,1,1,NA,19,77,12,2,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,22,57,130,1,0,0,0,NA,0,0,0,6,3,3,1,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,23,70,334,1,1,55,0,NA,0,0,1,0,1,1,3,NA,NA,NA,NA,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,24,63,260,1,2,46,0,NA,0,0,0,0,1,2,1,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,25,53,121,1,0,0,0,NA,0,0,2,0,3,2,2,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,26,566,249,2,0,0,0,NA,0,0,2,0,1,1,NA,55,131,18,3,10,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,27,69,295,1,2,1,0,NA,0,0,1,0,3,2,2,NA,NA,NA,NA,34,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,28,61,195,1,1,1,0,NA,0,0,3,0,3,2,1,NA,NA,NA,NA,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,29,68,288,2,0,0,0,NA,0,0,1,0,1,1,NA,69,147,17,3,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,30,73,278,2,1,26,0,NA,0,0,2,0,1,1,NA,25,159,12,2,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,31,70,309,1,0,0,0,NA,0,0,1,0,3,3,1,NA,NA,NA,NA,35,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,32,53,121,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,28,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,33,66,263,2,0,0,0,NA,0,0,3,0,1,1,NA,33,101,13,2,36,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,34,72,361,2,0,0,0,NA,0,2,0,0,3,1,NA,39,137,15,2,34,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,35,58,164,2,0,0,0,NA,0,0,0,0,1,1,NA,25,135,12,2,32,4,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/21/1960,3,12:00,0,36,68,289,2,0,0,0,NA,0,0,0,0,1,1,NA,59,105,18,3,36,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,1,62,187,2,0,NA,0,NA,0,0,0,0,3,1,NA,16,88,10,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,2,65,239,2,0,NA,0,NA,0,0,1,0,1,1,NA,26,136,10,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,3,63,216,1,1,35,0,NA,0,0,0,0,3,1,3,NA,NA,NA,NA,33,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,4,56,140,2,1,23,0,NA,0,0,0,0,1,1,NA,NA,NA,NA,1,32,4,NA,NA,NA,2,Weight estimated from length-weight relationship,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,5,65,274,2,3,50,0,NA,0,0,3,0,1,1,NA,15,101,9,NA,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,6,50,80,1,0,NA,0,NA,0,0,0,0,3,1,3,NA,NA,NA,NA,28,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,7,70,351,2,2,58,0,NA,0,0,0,0,1,1,NA,31,65,15,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,8,67,316,2,1,34,0,NA,0,0,0,0,3,1,NA,40,141,15,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,9,51,96,2,0,NA,0,NA,0,0,0,0,1,1,NA,2,NA,NA,1,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,10,70,341,2,2,78,0,NA,0,0,1,0,1,1,NA,21,127,12,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,11,50,94,2,1,13,0,NA,0,0,0,0,1,1,NA,1,NA,NA,1,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,12,64,228,2,1,29,0,NA,0,0,0,0,1,1,NA,26,167,12,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,13,52,105,2,1,14,0,NA,0,0,0,0,1,1,NA,1,NA,NA,1,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,14,62,203,2,2,20,0,NA,0,0,0,0,3,1,NA,9,NA,5,4,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,15,63,236,1,2,63,1,3,0,0,0,0,3,1,3,NA,NA,NA,NA,33,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,16,69,312,2,1,39,0,NA,0,0,0,0,3,1,NA,17,NA,5,4,36,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,17,64,210,2,1,31,0,NA,0,0,0,0,1,1,NA,9,NA,5,4,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,18,65,298,2,1,56,1,6,0,0,2,0,1,1,NA,36,143,15,2,32,4,NA,NA,NA,NA,NA,
"Mouth of Hansens Creek, Aleknagik",3,1,6,0840,6/17/60,6/24/1960,3,13:30,49,19,46,82,2,1,18,0,NA,0,0,1,0,1,1,NA,2,NA,NA,1,28,4,NA,NA,NA,NA,NA,
